,cg10501210,cg12544505.2,cg23090567,cg10505126,cg05983884,cg27003880,cg15822843,cg14882408,cg10534703,cg10973332,cg27531392,cg10820794,cg03918464,cg04287515,cg02153665,cg06857737,cg27419618,cg01079466,cg18291784,cg09714739,cg25584627,cg09227056,cg27395516,cg15940363,cg25764105,cg03673311,cg08228814,cg15211069,cg13245548,cg06848063,cg05562961,cg20356598,cg19111140,cg02909927,cg24098843,cg26653463,cg08582624,cg11882709,cg22940022,cg04469650,cg12780900,cg22036689,cg23505674,cg15835565,cg12001730,cg11359133,cg06172365,cg12911558,cg06035436,cg25379954,Age
GSM9308717,0.823043504,0.709962728,0.858260664,0.593445935,0.47045129,0.464900831,0.399583328,0.761233331,0.557222346,0.655275417,0.777328002,0.161841972,0.485323002,0.630856695,0.364448902,0.261450147,0.367572243,0.732011001,0.281537537,0.798794951,0.123486399,0.250866516,0.599931765,0.358569376,0.276353137,0.2932061,0.562944451,0.48115277,0.927669488,0.515019952,0.394280875,0.284800925,0.551657921,0.199708872,0.519107473,0.701112564,0.605908532,0.300537901,0.543728442,0.910088307,0.4387715,0.575860234,0.374937123,0.30677721,0.383748376,0.202768452,0.485674646,0.759896918,0.686559787,0.374547673,0.1
GSM9308718,0.357972973,0.57778331,0.844944654,0.385269121,0.588883232,0.383109695,0.496162347,0.633197369,0.596689582,0.679824103,0.541241553,0.529783573,0.800514775,0.585605282,0.339848796,0.429280281,0.616518382,0.737711339,0.552253651,0.765248254,0.210942573,0.438673631,0.773438604,0.451426643,0.413731566,0.483767345,0.671890014,0.472975338,0.916324684,0.666378721,0.457537445,0.455913473,0.288665265,0.312390958,0.653051154,0.331079295,0.571503127,0.336518211,0.915404717,0.919187999,0.394537573,0.481897862,0.634714461,0.034484959,0.282705887,0.299785595,0.432219395,0.28720551,0.796388702,0.631963451,9.1
GSM9308719,0.931243473,0.238640716,0.355257939,0.579182468,0.414176207,0.214590427,0.442669697,0.648704156,0.448837518,0.351817568,0.603554989,0.375116057,0.870045919,0.527602779,0.68201478,0.867421747,0.572883798,0.525749484,0.849923534,0.583368672,0.302569532,0.115870721,0.361289795,0.616998739,0.424525959,0.503633907,0.316301649,0.542925019,0.680192877,0.546433469,0.631425843,0.72995967,0.298929475,0.70540117,0.817807381,0.657877613,0.596280156,0.258495258,0.865057831,0.939728352,0.175240973,0.738701433,0.781379528,0.88491085,0.124600007,0.108937027,0.345708868,0.332088873,0.597598044,0.876075476,12.0
GSM9308720,0.889041619,0.723183848,0.317962011,0.332761035,0.808997926,0.501344947,0.49321985,0.631084984,0.487246698,0.432386256,0.857343212,0.510479693,0.838797876,0.558765518,0.697270121,0.870589759,0.488394373,0.669010085,0.884865304,0.783944204,0.571983613,0.088527146,0.80056691,0.567774553,0.267771375,0.715314614,0.174138985,0.784119508,0.890805737,0.514303585,0.560657338,0.636538046,0.351013043,0.577806135,0.795164601,0.604220048,0.513419378,0.445295748,0.854966423,0.89379736,0.216588324,0.735371617,0.921168368,0.88295705,0.293394531,0.057772567,0.473928056,0.164202854,0.642787383,0.90395015,0.0
GSM9308721,0.93525602,0.954275761,0.813101905,0.287545824,0.732127437,0.256837365,0.955178787,0.532529236,0.83743017,0.447874282,0.585509019,0.568037529,0.735643412,0.806533523,0.706695956,0.765335125,0.406746125,0.340679226,0.34328367,0.633448153,0.39863223,0.204325869,0.624179043,0.266028941,0.340013527,0.692314366,0.345281066,0.729480303,0.82882641,0.549534504,0.397764,0.658334634,0.308359866,0.753334264,0.735813252,0.446874917,0.498552303,0.520213807,0.878578505,0.492743957,0.560567583,0.750221006,0.619684293,0.702963192,0.2655537,0.091524669,0.393030666,0.578729762,0.608902974,0.7536614,0.0
GSM9308722,0.220371441,0.767958815,0.826660517,0.364220287,0.687902145,0.320154657,0.936773839,0.672387343,0.83346289,0.894163067,0.68126654,0.551717934,0.495263422,0.863276809,0.32759064,0.854925752,0.806296648,0.80087713,0.419680197,0.75358912,0.278347503,0.160636178,0.486022406,0.359989381,0.438796114,0.792855055,0.539900422,0.669306177,0.87757314,0.549776579,0.391622438,0.598339514,0.167935611,0.375651737,0.514204464,0.47277139,0.593532669,0.54418772,0.52631511,0.840111594,0.496710321,0.61662054,0.771828068,0.490314447,0.442310421,0.22390389,0.441489784,0.461372428,0.613533454,0.655437838,0.6
GSM9308723,0.160081347,0.949082003,0.800608984,0.331545912,0.54377305,0.158296964,0.922721029,0.357783659,0.71352866,0.831546292,0.49286513,0.74610551,0.832180976,0.591322264,0.458860321,0.854180654,0.833856735,0.511145292,0.603000336,0.816272342,0.32174922,0.402202159,0.78144887,0.43538487,0.406008193,0.57318505,0.645688747,0.510500044,0.461561394,0.786720814,0.469212805,0.797550924,0.350145697,0.317832144,0.649940743,0.429074368,0.545875578,0.297795218,0.764448848,0.933589513,0.204294799,0.378022369,0.726486114,0.405051289,0.160513615,0.42840766,0.51724414,0.505057187,0.749628572,0.85336018,15.4
GSM9308724,0.295311069,0.242629221,0.853388505,0.389501327,0.494263067,0.160001513,0.912410577,0.572456067,0.623847601,0.42236557,0.519082797,0.661675234,0.744214137,0.853762292,0.261807601,0.773870929,0.674992858,0.49578455,0.531021659,0.620705412,0.251959497,0.303510121,0.756552656,0.404645792,0.360121536,0.496127645,0.669182213,0.448514849,0.929266386,0.790007135,0.491770656,0.58411502,0.562600413,0.19985809,0.564808312,0.477330813,0.55660136,0.228522574,0.902660839,0.945315917,0.501934962,0.40490213,0.791839894,0.883273988,0.217709549,0.446850045,0.86495106,0.672723755,0.444535904,0.691876206,15.7
GSM9308725,0.932537223,0.937181801,0.861010746,0.325105076,0.75411798,0.310712747,0.931197466,0.671374926,0.763658608,0.827294307,0.689558929,0.410450132,0.904169187,0.831654283,0.737874373,0.883498347,0.430069141,0.66438634,0.817614221,0.660905668,0.400084049,0.144357591,0.61176327,0.598675598,0.441298963,0.732040747,0.227215441,0.671299513,0.925027656,0.51157603,0.49606292,0.763886356,0.350030644,0.706216679,0.716458676,0.643309496,0.50655919,0.471828056,0.884726209,0.493668073,0.272520704,0.78386094,0.694245704,0.771003186,0.130760919,0.106011668,0.62560044,0.384471839,0.348456111,0.919278079,0.0
GSM9308726,0.957419477,0.925469731,0.888261178,0.288478308,0.695752244,0.177855609,0.928786182,0.765902388,0.772035983,0.402491219,0.677226047,0.322346679,0.876254252,0.852713256,0.793984297,0.888164214,0.389848683,0.603813895,0.760896113,0.653347469,0.467646435,0.135173611,0.65217734,0.477415008,0.478516633,0.674892801,0.203114736,0.600013891,0.923485798,0.55159623,0.454207242,0.711624844,0.278798951,0.70579122,0.651961766,0.666463824,0.364526205,0.410949177,0.875757721,0.936628761,0.201201414,0.802227082,0.588203339,0.844434624,0.22633143,0.099353787,0.911213618,0.325725095,0.340904508,0.839839334,0.0
GSM9308727,0.783998718,0.463172471,0.840500615,0.584227988,0.476023444,0.175457443,0.454749703,0.728491221,0.679168706,0.545559397,0.581283273,0.427530521,0.460861541,0.718873934,0.334207648,0.276893566,0.60169692,0.370976866,0.653674622,0.594370829,0.15222268,0.256223536,0.623642812,0.47901777,0.262518207,0.273336302,0.695160397,0.418380931,0.926677602,0.565184068,0.681065936,0.345520093,0.527140029,0.365363832,0.580133646,0.572151441,0.604459181,0.176454319,0.71971594,0.931914148,0.508114039,0.671717832,0.656137799,0.143413653,0.178200041,0.391240445,0.745164682,0.852205599,0.158201835,0.478418983,7.3
GSM9308728,0.549935081,0.308024593,0.748852691,0.400988919,0.550920844,0.365044391,0.484342408,0.428405185,0.785987169,0.916602798,0.626684652,0.58184926,0.794678339,0.567603765,0.488302236,0.754332151,0.687856475,0.665977922,0.693327077,0.706411728,0.364355379,0.337818057,0.6461234,0.424396247,0.312536316,0.641151912,0.644120487,0.552524299,0.462624809,0.721056233,0.489175025,0.652069269,0.602107498,0.558715247,0.745318191,0.455933607,0.627445859,0.325565011,0.822558261,0.939742717,0.565378513,0.530334135,0.7956324,0.871384815,0.223977725,0.223292251,0.497937628,0.461457705,0.110141053,0.778883926,9.7
GSM9308729,0.929823676,0.088956499,0.815409987,0.557630553,0.610434995,0.397982542,0.960379854,0.636163179,0.630766573,0.572163974,0.75561059,0.285948186,0.481561053,0.838833849,0.363404117,0.608369584,0.452257172,0.639323852,0.494952912,0.580582506,0.154844333,0.33288927,0.696661718,0.329330744,0.432334176,0.248816225,0.569473041,0.476046894,0.938980505,0.632177847,0.445793824,0.597614365,0.643091753,0.296822651,0.568603614,0.549415301,0.596133293,0.212065628,0.910951634,0.94691953,0.447043111,0.633163617,0.699437724,0.412023499,0.297151239,0.330626467,0.522497029,0.672437013,0.814591855,0.554802717,6.9
GSM9308730,0.950912602,0.94109254,0.893943653,0.309587017,0.621287348,0.266310924,0.88493608,0.831106016,0.684572768,0.905751732,0.723602885,0.346949389,0.864630543,0.861477226,0.620365968,0.888880228,0.545875788,0.661375837,0.790946295,0.705425583,0.449248739,0.086210401,0.65259423,0.421481868,0.228497347,0.514624067,0.388849142,0.37248003,0.917769967,0.690701307,0.556047895,0.66090993,0.214417202,0.372388009,0.635760578,0.658877441,0.288368888,0.196235515,0.867030768,0.939443525,0.088659694,0.730037368,0.699733887,0.833945488,0.186759152,0.099983735,0.845929284,0.106350778,0.780706787,0.77023888,0.0
GSM9308731,0.827332718,0.941846959,0.880872192,0.36035009,0.670771048,0.279647621,0.947196978,0.302976652,0.757282665,0.879788663,0.747566265,0.552999264,0.880629123,0.908121164,0.416329856,0.893724452,0.813110228,0.572561068,0.808293787,0.814850569,0.316289625,0.30734066,0.555004298,0.383236519,0.35151668,0.573599543,0.603433351,0.437045085,0.939185199,0.737392097,0.818086279,0.671212872,0.309412821,0.188656042,0.513923781,0.702779556,0.666003597,0.178491976,0.844819481,0.942634147,0.197846894,0.381320286,0.764406573,0.447025888,0.231634017,0.35187707,0.390256683,0.596854785,0.511259127,0.820392359,7.6
GSM9308732,0.400865449,0.849737695,0.875139957,0.367374344,0.63718482,0.15036331,0.900647203,0.598857899,0.433042679,0.432065621,0.441457422,0.509407558,0.773287607,0.596166734,0.245260442,0.840105116,0.818993495,0.783100891,0.597132034,0.484290881,0.36715726,0.331752236,0.827582827,0.404818698,0.345950816,0.573213389,0.606823517,0.500952608,0.947362171,0.815379233,0.555676385,0.518557825,0.407901846,0.290028864,0.72916935,0.636427258,0.585278161,0.266516607,0.856817764,0.925153888,0.294233148,0.223487907,0.252164189,0.93152528,0.160456603,0.287585282,0.901529422,0.447978739,0.743112183,0.730483046,10.6
GSM9308733,0.961718373,0.712470399,0.863489753,0.365671038,0.657130512,0.253045553,0.947782322,0.631591533,0.765817357,0.867012868,0.637506828,0.291598316,0.481823566,0.890145336,0.758521304,0.814617665,0.432737344,0.607426178,0.695878476,0.863742986,0.495109968,0.18665508,0.669034423,0.437557334,0.304602841,0.562305051,0.109365061,0.587087559,0.921059437,0.418391736,0.412800957,0.570487319,0.606333682,0.636684373,0.657536006,0.866222325,0.613221852,0.304956008,0.894873841,0.934731535,0.281186633,0.726853585,0.743693019,0.766574225,0.112284161,0.103653959,0.46650738,0.297095113,0.604658911,0.818995389,0.0
GSM9308734,0.954438928,0.954200173,0.908928088,0.444562015,0.65448818,0.25671835,0.880550177,0.77947678,0.701966443,0.827812951,0.817522892,0.248330149,0.862043944,0.865916073,0.651091106,0.519175148,0.601279868,0.62464275,0.793317428,0.646163112,0.365872648,0.09689801,0.559322465,0.40933593,0.358807064,0.51452509,0.483063733,0.315284312,0.935767293,0.789247533,0.536751402,0.678211888,0.292845746,0.36871177,0.784232316,0.861436621,0.268110598,0.121224404,0.93393852,0.925888929,0.042946698,0.773882426,0.620491991,0.045700919,0.177075821,0.12598672,0.771553626,0.099235512,0.849517895,0.792863089,0.0
GSM9308735,0.326055156,0.93762155,0.837318142,0.282396199,0.665926055,0.455787501,0.475279847,0.463083269,0.398312223,0.683382823,0.527008353,0.639488776,0.844856247,0.848004923,0.287705213,0.867365327,0.565184646,0.786358017,0.67299697,0.638799654,0.252110153,0.320631402,0.685072018,0.307665898,0.380704259,0.716430448,0.824140327,0.566625505,0.914450985,0.710164533,0.519869011,0.842402288,0.435881568,0.278399507,0.678191747,0.180286432,0.723087983,0.303744941,0.780555339,0.922101798,0.375471852,0.509084051,0.806277415,0.401127642,0.308379001,0.249330386,0.362700857,0.410215591,0.713141793,0.813310486,10.4
GSM9308736,0.134965412,0.752973287,0.838052759,0.337435938,0.652131141,0.135766671,0.884564128,0.316664998,0.712391173,0.86539836,0.550835018,0.595278895,0.834045201,0.858478926,0.251960881,0.457181097,0.696972051,0.655139109,0.637422733,0.581176587,0.294647572,0.3253929,0.685120812,0.375213971,0.317555903,0.636187586,0.622059311,0.488188197,0.54555755,0.805737025,0.375426371,0.622036886,0.438941935,0.368869207,0.648634159,0.255067407,0.607583983,0.247869937,0.838787299,0.940732654,0.207608047,0.405812728,0.666655904,0.051250135,0.222401465,0.194880657,0.901751027,0.42543969,0.772767835,0.758222908,12.3
GSM9308737,0.959187432,0.274813135,0.844785792,0.338887899,0.581191635,0.260531037,0.965295381,0.671362513,0.731084942,0.791433234,0.634151257,0.355459905,0.86403605,0.871474227,0.714178139,0.436813568,0.276030179,0.667067367,0.621016255,0.842963426,0.492761913,0.166140164,0.766619131,0.350342655,0.323162568,0.578261741,0.268962186,0.622092686,0.930141786,0.44599051,0.402942466,0.688813479,0.524306695,0.781890442,0.748575133,0.623256316,0.569235238,0.335295931,0.798370783,0.938493678,0.357135309,0.673970413,0.667993982,0.930649522,0.20282703,0.077267565,0.91413144,0.354308195,0.762842882,0.774249858,0.1
GSM9308738,0.87617729,0.679467311,0.853215194,0.299157684,0.653402817,0.341693508,0.899127102,0.385762567,0.733776944,0.916625252,0.58237564,0.518733973,0.482166547,0.871897124,0.475486713,0.472181572,0.657063207,0.688321933,0.724516086,0.736473022,0.402898564,0.285124787,0.735336962,0.252198773,0.451212652,0.472555616,0.652816432,0.525853876,0.591312289,0.60760278,0.437929133,0.713093088,0.523975033,0.540012583,0.741873264,0.391031565,0.637169309,0.312724837,0.547569451,0.901905947,0.274627566,0.543954247,0.670237273,0.421251859,0.192525628,0.206879398,0.510403832,0.305915519,0.680080013,0.833210268,3.7
GSM9308739,0.652257991,0.867024691,0.825909973,0.302563238,0.639101765,0.351411837,0.523930406,0.495618931,0.739253782,0.425507455,0.599674688,0.658965224,0.811844027,0.702564197,0.541128477,0.505036305,0.745646829,0.762908536,0.662673234,0.80548724,0.44079798,0.334608843,0.764910209,0.300603696,0.312249545,0.710643889,0.792046606,0.670777659,0.938259,0.738523596,0.367306022,0.744409507,0.546938012,0.440034672,0.60033758,0.127928761,0.579469505,0.498060174,0.884803171,0.951679889,0.331926533,0.54954515,0.587832247,0.410989611,0.340727117,0.252846621,0.535196626,0.398390354,0.707848559,0.847796557,6.7
GSM9308740,0.419631247,0.855176153,0.783165419,0.438922564,0.44199978,0.209168165,0.926418185,0.624245351,0.717558434,0.432094322,0.578709648,0.387357372,0.457616188,0.828906129,0.304635203,0.652071894,0.584167859,0.555909572,0.521863023,0.838424281,0.241521562,0.33928113,0.698986422,0.465166217,0.342836019,0.352393644,0.800490274,0.39522925,0.938686556,0.741900178,0.543186788,0.515509438,0.492383246,0.153680353,0.56038207,0.375900951,0.634976164,0.145867507,0.90204343,0.939012518,0.254736552,0.551461236,0.664032411,0.050359605,0.228950961,0.254871512,0.86236776,0.395441145,0.40914202,0.633641985,7.4
GSM9308741,0.237843754,0.254673515,0.828022645,0.342726424,0.606489349,0.229153697,0.451280502,0.440250052,0.757291307,0.813394792,0.564601325,0.606607451,0.834641439,0.838156248,0.281004255,0.805290975,0.770196446,0.617103115,0.560775224,0.591170878,0.220172841,0.368431637,0.630569244,0.420336971,0.334939165,0.603415645,0.593959419,0.486836379,0.924898298,0.834174396,0.446912662,0.581784587,0.455758321,0.188476947,0.594535613,0.232103673,0.671675698,0.25803037,0.923670492,0.918808963,0.369658855,0.449677446,0.570063387,0.050864505,0.210562431,0.407469804,0.876224866,0.478863551,0.807255877,0.832397685,13.4
GSM9308742,0.458573367,0.531145331,0.501946771,0.129866792,0.177317669,0.517481745,0.683001623,0.031482322,0.303170531,0.494508854,0.034208374,0.477831307,0.02801841,0.041345427,0.507788629,0.502285712,0.529463554,0.073832335,0.930558016,0.488513837,0.179534732,0.485083807,0.46374357,0.403184458,0.514843289,0.52350612,0.477540236,0.441549629,0.501516171,0.506898475,0.499461945,0.499529588,0.492696631,0.138039679,0.441458258,0.142388913,0.669548888,0.493933476,0.519801045,0.547887386,0.606055829,0.492651288,0.348416023,0.037546823,0.539445467,0.648659453,0.470855958,0.486978723,0.447683661,0.525048135,14.5
GSM9308743,0.133027789,0.106766694,0.702905389,0.416242138,0.748642683,0.423399673,0.942227708,0.579229207,0.751512016,0.863312039,0.607771603,0.604803983,0.484016609,0.761792111,0.446165153,0.767370308,0.608339695,0.748274848,0.493547659,0.457417144,0.502920594,0.138563714,0.585125656,0.505072307,0.406788646,0.843624087,0.634606934,0.630409509,0.710519173,0.664704237,0.405657145,0.756568053,0.497812082,0.481240246,0.649265706,0.215293804,0.418669991,0.600034769,0.890727575,0.801927206,0.426435465,0.525949853,0.858628028,0.627738039,0.43190709,0.318136183,0.586975685,0.593575314,0.519097445,0.759706906,9.4
GSM9308744,0.570913197,0.481386725,0.500915137,0.372622867,0.452777332,0.471073261,0.49963333,0.471073261,0.290431915,0.494734823,0.500814222,0.470659391,0.432827904,0.524461621,0.457731673,0.511703889,0.42760786,0.528016696,0.557434872,0.467284089,0.46386218,0.465350377,0.507570007,0.42038694,0.487311012,0.404607363,0.479354714,0.518489994,0.472904358,0.42077931,0.478988471,0.347409605,0.403927523,0.505878298,0.711409932,0.560426425,0.496758331,0.475008699,0.450811844,0.413918421,0.611549271,0.474509631,0.489933091,0.515095525,0.514807792,0.530165644,0.493094966,0.460092552,0.33048944,0.489593259,5.1
GSM9308745,0.162264142,0.504389647,0.681496184,0.348259687,0.778743608,0.479814704,0.808549699,0.45326135,0.96982331,0.934773062,0.456489081,0.749117247,0.478498061,0.517013338,0.722377131,0.769889546,0.57737141,0.717724875,0.730255613,0.45637209,0.459592323,0.026495106,0.496446083,0.452607091,0.182315507,0.635854959,0.476572283,0.39325439,0.519100922,0.477651923,0.342712165,0.798144309,0.67314681,0.639307373,0.523629175,0.094800515,0.460817861,0.467499444,0.864392068,0.566126833,0.343543167,0.339135675,0.576900455,0.618814347,0.474359979,0.083392654,0.50713644,0.844760908,0.519098566,0.860168191,7.0
GSM9308746,0.448089235,0.23232414,0.024635549,0.716120053,0.330017361,0.066517399,0.79381067,0.826172533,0.51926323,0.617068121,0.551152008,0.640304337,0.052932897,0.835810773,0.628383108,0.889622121,0.469890813,0.95279657,0.30420767,0.300447917,0.050105661,0.175812839,0.656397056,0.745807255,0.105942729,0.226473334,0.416423568,0.088298565,0.938297677,0.326751905,0.201788618,0.637057193,0.911369894,0.056388736,0.659838749,0.37890691,0.648227533,0.108910713,0.338784937,0.948117827,0.048526463,0.464151292,0.546908749,0.798741694,0.109144623,0.054279988,0.26588307,0.456937525,0.809346244,0.493917909,14.3
GSM9308747,0.255049764,0.293531233,0.368616472,0.687000876,0.457971532,0.359865359,0.91657655,0.641616551,0.565776035,0.438949187,0.844925114,0.293907719,0.468223247,0.873139081,0.223771572,0.897659609,0.620279667,0.374537958,0.865097838,0.514842963,0.204766931,0.413689687,0.75410612,0.511172465,0.561943206,0.074554561,0.667656064,0.173389827,0.536795997,0.847730765,0.513360004,0.313953629,0.220399551,0.074835052,0.280085447,0.344186641,0.283144524,0.181006206,0.912102974,0.923420887,0.603331269,0.427647013,0.172424508,0.921245708,0.207904008,0.226513724,0.287758412,0.191199983,0.393667035,0.49031001,12.2
GSM9308748,0.756533376,0.95772314,0.369882893,0.445691444,0.605871728,0.253642424,0.922312069,0.469410213,0.704292796,0.414170402,0.719387973,0.440096971,0.843909905,0.844679028,0.311152301,0.786371738,0.762872845,0.512847261,0.744323665,0.57316069,0.162502607,0.399190438,0.642963661,0.395613041,0.391077118,0.379406309,0.736055743,0.326695126,0.520360095,0.709625709,0.740256829,0.582418711,0.375627507,0.23051245,0.492928267,0.673215536,0.779895108,0.125647208,0.830248633,0.925945054,0.148675868,0.466859379,0.520874521,0.871751475,0.23931333,0.353352192,0.379817064,0.75139034,0.824043521,0.720201288,12.2
GSM9308749,0.404667864,0.299697115,0.821660512,0.484222583,0.420567242,0.193570991,0.899887234,0.617284957,0.645539901,0.43418859,0.543292869,0.481204298,0.699023246,0.845411606,0.212253585,0.719648274,0.579781485,0.570736742,0.539275356,0.534562885,0.186188618,0.362389237,0.746662513,0.380342597,0.325187107,0.434099462,0.811877614,0.370055737,0.924144857,0.81253171,0.456726766,0.607567475,0.668281722,0.143876572,0.585179746,0.338120545,0.618401146,0.223187762,0.921572182,0.931302102,0.438762387,0.415760593,0.468330303,0.930799399,0.23004802,0.337766775,0.89144341,0.479426423,0.786577954,0.661854149,14.8
