"","CGid","SYMBOL","GeneRegionID","seqnames","CGstart","CGend","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","ENTREZID","transcriptId","distanceToTSS","ENSEMBL","GENENAME","flank_txIds","flank_geneIds","flank_gene_distances","genic","Intergenic","Promoter","fiveUTR","threeUTR","Exon","Intron","downstream","distal_intergenic","main_Categories","CpGislandseqnames","CpGislandstart","CpGislandend","CpGislandwidth","CpGislandstrand","CpGislandlen","CpGislandcount","CpGislandgc","CpGislandoe","CpGislandden","CpGislandpvalue","CpGisland","CGIslandNess","stackHMM","repeatElements","PMDstatus","PMDstatusDetailed","WCGW_inCommonPMDs","WCGW_GenomWide"
"11","cg00008998","ARHGAP15","ARHGAP15_Intron","chr2",144443484,144443485,50,"+","Intron (uc002tvm.4/55843, intron 12 of 13)",2,143886899,144525921,639023,1,"55843","uc002tvm.4",556536,"ENSG00000075884","Rho GTPase activating protein 15","uc002tvm.4;uc002tvn.3","55843;55843","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","EnhWk4",NA,"PMD","commonPMD","WCGW","WCGW"
"12","cg00009248","MAPT","MAPT_Exon","chr17",44087711,44087712,50,"+","Exon (uc002ijr.4/4137, exon 11 of 14)",17,43971748,44105699,133952,1,"4137","uc002ijr.4",115914,"ENSG00000186868","microtubule associated protein tau","uc002ijr.4;uc002ijs.4;uc002ijt.4;uc002iju.4;uc002ijx.4;uc010dau.3;uc021tyv.1;uc021tyw.1","4137;4137;4137;4137;4137;4137;4137;4137","0;0;0;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnhA12",NA,"PMD","neither",NA,"WCGW"
"13","cg00009319","AUTS2","AUTS2_Intron","chr7",70096026,70096027,50,"+","Intron (uc003tvw.4/26053, intron 5 of 18)",7,69063905,70257885,1193981,1,"26053","uc003tvw.4",1032123,"ENSG00000158321","activator of transcription and developmental regulator AUTS2","uc003tvw.4;uc003tvx.4","26053;26053","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhA2",NA,"PMD","neither",NA,NA
"14","cg00010445","RFX1","RFX1_Intron","chr19",14089630,14089631,51,"-","Intron (uc002mxv.3/5989, intron 7 of 20)",19,14072342,14117134,44793,2,"5989","uc002mxv.3",27454,"ENSG00000132005","regulatory factor X1","uc002mxv.3;uc010dzi.2","5989;5989","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron","19",14089630,14089871,242,"*",242,31,0.772727272727273,0.86708275543227,0.128099173553719,3.28334966576216e-25,"CpGisland","+","TSS2",NA,"HMD","commonHMD",NA,NA
"15","cg00010903","FBXL20","FBXL20_Exon","chr17",37421663,37421664,50,"+","Exon (uc002hrt.3/84961, exon 13 of 15)",17,37408897,37557909,149013,2,"84961","uc002hrt.3",136195,"ENSG00000108306","F-box and leucine rich repeat protein 20","uc002hrt.3;uc010cvu.3","84961;84961","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","Tx6",NA,"HMD","commonHMD",NA,"WCGW"
"16","cg00010926","PAK3","PAK3_Exon","chrX",110388123,110388124,50,"+","Exon (uc010npv.1/5063, exon 3 of 16)",23,110187513,110464173,276661,1,"5063","uc010npt.1",200612,"ENSG00000077264","p21 (RAC1) activated kinase 3","uc010npt.1;uc010npu.1;uc004eoy.2;uc004eoz.2;uc011mst.1;uc004epa.2;uc010npv.1;uc010npw.1","5063;5063;5063;5063;5063;5063;5063;5063","0;0;0;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","ReprPC8",NA,NA,NA,NA,NA
"17","cg00010977","FIGN","FIGN_Intergenic_downstream","chr2",164301322,164301323,50,"+","Distal Intergenic",2,164464118,164592513,128396,2,"55137","uc002uck.1",291191,"ENSG00000182263","fidgetin, microtubule severing factor",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","Quies3",NA,"PMD","commonPMD",NA,NA
"18","cg00012521","GGCT","GGCT_Exon","chr7",30540210,30540211,51,"-","Exon (uc003tba.3/79017, exon 2 of 4)",7,30536237,30544457,8221,2,"79017","uc003tba.3",4197,"ENSG00000006625","gamma-glutamylcyclotransferase","uc003taz.3;uc003tba.3;uc003tbb.3;uc003tbc.3;uc022abe.1;uc022abf.1","79017;79017;79017;79017;79017;79017","-1392;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","Tx1",NA,"HMD","commonHMD",NA,NA
"19","cg00012879","NFIX","NFIX_Exon","chr19",13189496,13189497,50,"-","Exon (uc002mwd.3/4784, exon 7 of 10)",19,13106584,13209610,103027,1,"4784","uc002mwd.3",82863,"ENSG00000008441","nuclear factor I X","uc002mwd.3;uc002mwe.4;uc002mwf.3;uc010xmx.2;uc002mwg.2","4784;4784;4784;4784;4784","0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhWk2",NA,"PMD","neither",NA,NA
"20","cg00013189","NKX2-3","NKX2-3_Intergenic_downstream","chr10",101296898,101296899,51,"-","Downstream (<1kb)",10,101292690,101296280,3591,1,"159296","uc009xwj.3",4258,"ENSG00000119919","NK2 homeobox 3","uc009xwj.3","159296","0",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Intergenic_downstream","10",101296580,101297081,502,"*",502,49,0.673306772908366,0.861364989319606,0.097609561752988,2.94173126496386e-33,"CpGisland","-","BivProm1",NA,"PMD","neither",NA,NA
"21","cg00013247","CDH5","CDH5_Intergenic_upstream","chr16",66180960,66180961,50,"-","Distal Intergenic",16,66400525,66438689,38165,1,"1003","uc002eom.4",-219614,"ENSG00000179776","cadherin 5",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_upstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","Acet5",NA,"PMD","commonPMD","WCGW","WCGW"
"22","cg00014011","WNT1","WNT1_Intergenic_downstream","chr12",49380844,49380845,50,"+","Distal Intergenic",12,49372236,49376396,4161,1,"7471","uc001rsu.3",8609,"ENSG00000125084","Wnt family member 1","uc001rsu.3","7471","0",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","ReprPC2",NA,"HMD","commonHMD",NA,NA
"23","cg00015001","PAX2","PAX2_Intergenic_upstream","chr10",102467016,102467017,50,"+","Distal Intergenic",10,102505468,102589698,84231,1,"5076","uc001krk.4",-38401,"ENSG00000075891","paired box 2",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_upstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","ReprPC2",NA,"PMD","neither",NA,NA
"24","cg00015319","FLJ12825","FLJ12825_Intron","chr12",54500832,54500833,51,"+","Intron (uc001sey.2/440101, intron 1 of 1)",12,54452038,54516018,63981,1,"440101","uc001sey.2",48744,"ENSG00000248265","uncharacterized LOC440101","uc010sos.2;uc001sey.2","100240734;440101","4789;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron","12",54500619,54500869,251,"*",251,27,0.665338645418327,1.01149253731343,0.107569721115538,8.83351060926509e-20,"CpGisland",NA,"ReprPC2",NA,"PMD","neither",NA,NA
"25","cg00016215","KCNMA1","KCNMA1_Exon","chr10",78649254,78649255,50,"-","Exon (uc001jxj.2/3778, exon 27 of 29)",10,78629359,79397577,768219,2,"3778","uc001jxj.2",748272,"ENSG00000156113","potassium calcium-activated channel subfamily M alpha 1","uc001jxj.2;uc021ptu.1;uc001jxk.1;uc009xrt.1;uc001jxl.1;uc001jxm.3;uc001jxn.3;uc001jxo.3;uc001jxq.3","3778;3778;3778;3778;3778;3778;3778;3778;3778","0;0;0;0;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxWk1",NA,"PMD","commonPMD",NA,NA
"26","cg00017571","DMBX1","DMBX1_Promoter","chr1",46963466,46963467,50,"+","Promoter (9-10kb)",1,46972668,46979886,7219,1,"127343","uc001cpw.3",-9202,"ENSG00000197587","diencephalon/mesencephalon homeobox 1",NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Promoter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","ReprPC9",NA,"PMD","neither",NA,NA
"27","cg00017737","CALCOCO1","CALCOCO1_Intergenic_upstream","chr12",54133570,54133571,50,"-","Distal Intergenic",12,54104902,54121307,16406,2,"57658","uc001sef.3",-12262,"ENSG00000012822","calcium binding and coiled-coil domain 1",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_upstream","12",54133502,54133835,334,"*",334,31,0.604790419161677,1.06555521251415,0.092814371257485,1.44892608885389e-20,"CpGisland","+","BivProm1",NA,"PMD","commonPMD",NA,NA
"28","cg00017842","EN1","EN1_Intergenic_downstream","chr2",119528421,119528422,51,"-","Distal Intergenic",2,119599747,119605759,6013,2,"2019","uc002tlm.3",77338,"ENSG00000163064","engrailed homeobox 1",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","ReprPC2",NA,"PMD","commonPMD",NA,NA
"29","cg00019068","ZBTB44","ZBTB44_Exon","chr11",130106746,130106747,50,"-","Exon (uc001qga.3/29068, exon 5 of 8)",11,130096574,130184607,88034,2,"29068","uc001qfx.3",77810,"ENSG00000196323","zinc finger and BTB domain containing 44","uc001qfx.3;uc001qgb.4;uc001qfz.3;uc001qga.3;uc001qgc.1","29068;29068;29068;29068;29068","0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEx2",NA,"HMD","commonHMD",NA,NA
"30","cg00020468","ANK3","ANK3_Exon","chr10",61829801,61829802,50,"-","Exon (uc001jky.3/288, exon 37 of 44)",10,61786056,62493284,707229,2,"288","uc001jkz.4",663484,"ENSG00000151150","ankyrin 3","uc001jkv.3;uc001jkw.3;uc009xpa.3;uc001jkx.3;uc001jky.3;uc010qih.2;uc001jkz.4;uc009xpb.1","288;288;288;288;288;288;288;288","0;0;0;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TxWk2",NA,"HMD","commonHMD",NA,NA
"31","cg00021588","AHCYL1","AHCYL1_Exon","chr1",110558116,110558117,50,"-","Exon (uc001dyx.3/10768, exon 7 of 17)",1,110527387,110566364,38978,1,"10768","uc001dyx.3",30680,"ENSG00000168710","adenosylhomocysteinase like 1","uc001dyx.3;uc010ovw.2;uc021ork.1;uc001dyy.3;uc010ovx.2","10768;10768;10768;10768;10768","0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TxEx2",NA,"HMD","commonHMD",NA,NA
"32","cg00022035","OGDH","OGDH_fiveUTR","chr7",44687321,44687322,50,"-","5' UTR",7,44646121,44716195,70075,1,"4967","uc003tlm.3",41151,"ENSG00000105953","oxoglutarate dehydrogenase","uc003tlm.3;uc003tln.3;uc011kbx.2;uc011kby.2;uc003tlp.3;uc011kbz.2;uc003tlo.1","4967;4967;4967;4967;4967;4967;4967","0;0;0;0;0;0;0",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"fiveUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEx2",NA,"HMD","commonHMD",NA,NA
"33","cg00023292","CNOT4","CNOT4_Exon","chr7",135047843,135047844,50,"-","Exon (uc003vss.3/4850, exon 11 of 11)",7,135046547,135194875,148329,2,"4850","uc003vss.3",146981,"ENSG00000080802","CCR4-NOT transcription complex subunit 4","uc003vss.3;uc003vst.3;uc011kpy.2;uc011kpz.2","4850;4850;4850;4850","0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEx3",NA,"HMD","commonHMD",NA,NA
"34","cg00024300","FAM172A","FAM172A_Intron","chr5",93230623,93230624,50,"+","Intron (uc010jbd.3/83989, intron 6 of 10)",5,92953431,93447404,493974,2,"83989","uc010jbd.3",216730,"ENSG00000113391","family with sequence similarity 172 member A","uc010jbd.3;uc011cuf.2;uc011cug.2;uc011cuh.2;uc011cui.2;uc011cuj.2;uc003kkm.4","83989;83989;83989;83989;83989;83989;83989","0;0;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhA6",NA,"HMD","commonHMD",NA,NA
"35","cg00027030","GRM1","GRM1_Exon","chr6",146720714,146720715,51,"-","Exon (uc010khv.2/2911, exon 8 of 10)",6,146348782,146758734,409953,1,"2911","uc010khv.2",371932,"ENSG00000152822","glutamate metabotropic receptor 1","uc010khv.2;uc010khw.2;uc003qll.3;uc011edz.2;uc011eea.2","2911;2911;2911;2911;2911","0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","HET1",NA,"PMD","commonPMD",NA,NA
"36","cg00027863","SENP3-EIF4A1","SENP3-EIF4A1_fiveUTR","chr17",7474754,7474755,50,"+","5' UTR",17,7465309,7482324,17016,1,"100533955","uc002gho.2",9395,NA,"SENP3-EIF4A1 readthrough (NMD candidate)","uc002gho.2;uc031qyn.1;uc002ghr.1;uc002ghm.3;uc002ghs.1","100533955;100533955;100533955;26168;652965","0;0;0;0;-3278",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"fiveUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TxEnh4",NA,"HMD","commonHMD",NA,NA
"37","cg00027948","ESYT1","ESYT1_Exon","chr12",56531334,56531335,51,"-","Exon (uc001sjq.3/23344, exon 18 of 31)",12,56521986,56538460,16475,1,"23344","uc001sjq.3",9348,"ENSG00000139641","extended synaptotagmin 1","uc001sjq.3;uc001sjr.3","23344;23344","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEx2",NA,"HMD","commonHMD",NA,NA
"38","cg00029553","FGF14","FGF14_threeUTR","chr13",102374324,102374325,50,"+","3' UTR",13,102373205,103054124,680920,2,"2259","uc001vpf.2",679749,"ENSG00000102466","fibroblast growth factor 14","uc001vpe.2;uc001vpf.2;uc001vpc.5","2259;2259;9358","0;0;269382",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"threeUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TxWk1",NA,"PMD","commonPMD",NA,NA
"39","cg00029755","ZEB2","ZEB2_Intron","chr2",145247188,145247189,50,"-","Intron (uc002tvu.3/9839, intron 2 of 9)",2,145141942,145277958,136017,2,"9839","uc002tvu.3",30719,"ENSG00000169554","zinc finger E-box binding homeobox 2","uc002tvu.3;uc002tvv.3;uc010zbm.2;uc010fnp.3;uc010fnq.1;uc002tvw.3;uc002tvx.1","9839;9839;9839;9839;9839;9839;9839","0;0;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","TxEnh7",NA,"PMD","neither",NA,NA
"40","cg00031262","WNT1","WNT1_Intergenic_downstream","chr12",49380820,49380821,50,"-","Distal Intergenic",12,49372236,49376396,4161,1,"7471","uc001rsu.3",8635,"ENSG00000125084","Wnt family member 1","uc001rsu.3","7471","0",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","ReprPC2",NA,"HMD","commonHMD",NA,NA
"41","cg00031896","KDM2B","KDM2B_Promoter","chr12",122020205,122020206,51,"-","Promoter (1-2kb)",12,121866900,122018920,152021,2,"84678","uc001uat.3",-1335,"ENSG00000089094","lysine demethylase 2B","uc001uas.3;uc021rfd.1;uc001uat.3;uc001uau.3;uc021rfe.1;uc001uav.4","84678;84678;84678;84678;84678;84678","0;0;0;0;0;0",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Promoter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TSS2",NA,"HMD","commonHMD",NA,"WCGW"
"42","cg00032045","AHDC1","AHDC1_threeUTR","chr1",27861276,27861277,50,"+","3' UTR",1,27860756,27930143,69388,2,"27245","uc009vsy.3",68867,"ENSG00000126705","AT-hook DNA binding motif containing 1","uc009vsy.3","27245","0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"threeUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxWk2",NA,"HMD","commonHMD",NA,NA
"43","cg00032807","EVX1","EVX1_Intergenic_downstream","chr7",27288641,27288642,50,"+","Distal Intergenic",7,27282319,27286192,3874,1,"2128","uc011jzn.1",6273,"ENSG00000106038","even-skipped homeobox 1","uc003szd.1;uc010kuy.1;uc011jzn.1","2128;2128;2128","0;0;0",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","ReprPC1",NA,"PMD","neither",NA,NA
"44","cg00032872","SOX21","SOX21_Intergenic_downstream","chr13",95360838,95360839,50,"-","Distal Intergenic",13,95361879,95364389,2511,2,"11166","uc001vma.3",3549,"ENSG00000125285","SRY-box transcription factor 21","uc001vma.3","11166","3500",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","BivProm2",NA,"PMD","neither",NA,NA
"45","cg00035308","TSPAN5","TSPAN5_Exon","chr4",99399876,99399877,50,"+","Exon (uc011cdz.2/10098, exon 5 of 8)",4,99391518,99578800,187283,2,"10098","uc011cdz.2",178873,"ENSG00000168785","tetraspanin 5","uc011cdz.2;uc003hub.3","10098;10098","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEnh5",NA,"HMD","commonHMD",NA,NA
"46","cg00036621","NAA30","NAA30_Exon","chr14",57863562,57863563,50,"-","Exon (uc001xcx.4/122830, exon 3 of 5)",14,57857271,57879466,22196,1,"122830","uc001xcx.4",6242,"ENSG00000139977","N(alpha)-acetyltransferase 30, NatC catalytic subunit","uc001xcx.4;uc010aow.3;uc010trk.2","122830;122830;122830","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","Tx4",NA,"HMD","commonHMD",NA,NA
"47","cg00036705","POU3F3","POU3F3_Intergenic_downstream","chr2",105517820,105517821,50,"-","Distal Intergenic",2,105471969,105473471,1503,1,"5455","uc010ywg.2",45851,"ENSG00000198914","POU class 3 homeobox 3",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhA15",NA,"PMD","commonPMD",NA,NA
